datetime,META
2016-12-19 17:30:00,119.24
2016-12-20 17:30:00,119.09
2016-12-21 17:30:00,119.04
2016-12-22 17:30:00,117.4
2016-12-23 17:30:00,117.27
2016-12-27 17:30:00,118.01
2016-12-28 17:30:00,116.92
2016-12-29 17:30:00,116.35
2016-12-30 17:30:00,115.05
2017-01-03 17:30:00,116.86
2017-01-04 17:30:00,118.69
2017-01-05 17:30:00,120.67
2017-01-06 17:30:00,123.41
2017-01-09 17:30:00,124.9
2017-01-10 17:30:00,124.35
2017-01-11 17:30:00,126.09
2017-01-12 17:30:00,126.62
2017-01-13 17:30:00,128.34
2017-01-17 17:30:00,127.87
2017-01-18 17:30:00,127.92
2017-01-19 17:30:00,127.55
2017-01-20 17:30:00,127.04
2017-01-23 17:30:00,128.93
2017-01-24 17:30:00,129.37
2017-01-25 17:30:00,131.48
2017-01-26 17:30:00,132.78
2017-01-27 17:30:00,132.18
2017-01-30 17:30:00,130.98
2017-01-31 17:30:00,130.32
2017-02-01 17:30:00,133.23
2017-02-02 17:30:00,130.84
2017-02-03 17:30:00,130.98
2017-02-06 17:30:00,132.06
2017-02-07 17:30:00,131.84
2017-02-08 17:30:00,134.2
2017-02-09 17:30:00,134.14
2017-02-10 17:30:00,134.19
2017-02-13 17:30:00,134.05
2017-02-14 17:30:00,133.85
2017-02-15 17:30:00,133.44
2017-02-16 17:30:00,133.84
2017-02-17 17:30:00,133.53
2017-02-21 17:30:00,133.72
2017-02-22 17:30:00,136.12
2017-02-23 17:30:00,135.36
2017-02-24 17:30:00,135.44
2017-02-27 17:30:00,136.41
2017-02-28 17:30:00,135.54
2017-03-01 17:30:00,137.42
2017-03-02 17:30:00,136.76
2017-03-03 17:30:00,137.17
2017-03-06 17:30:00,137.42
2017-03-07 17:30:00,137.3
2017-03-08 17:30:00,137.72
2017-03-09 17:30:00,138.24
2017-03-10 17:30:00,138.79
2017-03-13 16:30:00,139.6
2017-03-14 16:30:00,139.32
2017-03-15 16:30:00,139.72
2017-03-16 16:30:00,139.99
