Results saved on: 2025-11-11 21:58:56
================================================================================

           strategy_name  Return [%]  # Trades  Win Rate [%]  Sharpe Ratio  Max. Drawdown [%]
          VWAP_CDLHAMMER   11.114692        13     46.153846      0.215254         -26.798157
  VWAP_CDLINVERTEDHAMMER    0.590780         7     42.857143      0.021652         -12.648428
     VWAP_CDLMORNINGSTAR    9.919362         3     66.666667      0.476485          -6.026147
 VWAP_CDLMORNINGDOJISTAR    3.825323         1    100.000000      0.359513          -2.632293
       VWAP_CDLENGULFING    9.402096        14     50.000000      0.212068         -19.427269
        VWAP_CDLPIERCING  -10.929413         4     25.000000     -0.410948         -19.632986
          VWAP_CDLHARAMI   -0.949388        22     40.909091     -0.015341         -29.545459
     VWAP_CDLHARAMICROSS  -15.644141         8     12.500000     -0.440999         -26.320177
          VWAP_CDLTAKURI   35.880915         8     75.000000      0.698577          -9.373305
  VWAP_CDL3WHITESOLDIERS   -4.987979         1      0.000000     -0.326209         -10.738239
VWAP_CDLRISEFALL3METHODS    0.000000         0           NaN           NaN          -0.000000
         VWAP_CDLMATHOLD    0.000000         0           NaN           NaN          -0.000000
 VWAP_CDLSEPARATINGLINES   -3.819295         1      0.000000     -0.610267          -3.961600
       VWAP_CDLTASUKIGAP    0.699780         3     33.333333      0.059176          -3.862265
   VWAP_CDLABANDONEDBABY    0.000000         0           NaN           NaN          -0.000000
    VWAP_CDLLADDERBOTTOM    0.000000         0           NaN           NaN          -0.000000
     VWAP_CDLMATCHINGLOW   -3.721625         8     37.500000     -0.113623         -12.840037
    VWAP_CDLUNIQUE3RIVER  -10.983151         3      0.000000     -0.751466         -11.969034
         VWAP_CDL3INSIDE  -29.611221        10     10.000000     -1.254297         -33.677705
        VWAP_CDL3OUTSIDE    9.394656         8     62.500000      0.237916         -10.757389
        VWAP_CDLBELTHOLD  -19.457704        30     40.000000     -0.304831         -39.238317
       VWAP_CDLBREAKAWAY    0.000000         0           NaN           NaN          -0.000000
         VWAP_CDLKICKING    0.000000         0           NaN           NaN          -0.000000
 VWAP_CDLKICKINGBYLENGTH    0.000000         0           NaN           NaN          -0.000000
   VWAP_CDLSTICKSANDWICH   -7.386621         2      0.000000     -0.834081          -7.386621

================================================================================
Total records: 25
