Results saved on: 2025-11-18 21:53:32
================================================================================

           strategy_name  Return [%]  # Trades  Win Rate [%]  Sharpe Ratio  Max. Drawdown [%]
          VWAP_CDLHAMMER    2.523305         8     50.000000      0.076429         -14.456034
  VWAP_CDLINVERTEDHAMMER   -5.230906        13     30.769231     -0.118093         -25.270430
     VWAP_CDLMORNINGSTAR  -17.894212         6      0.000000     -1.114371         -17.894212
 VWAP_CDLMORNINGDOJISTAR   -5.245802         1      0.000000     -0.860945          -5.245802
       VWAP_CDLENGULFING   19.254406        24     50.000000      0.342913         -29.375739
        VWAP_CDLPIERCING  -13.989227         2      0.000000     -0.706170         -15.872841
          VWAP_CDLHARAMI   10.754601        22     36.363636      0.189499         -28.648581
     VWAP_CDLHARAMICROSS   25.998971         7     71.428571      0.817299          -8.860459
          VWAP_CDLTAKURI  -10.923263        11     27.272727     -0.390824         -22.375513
  VWAP_CDL3WHITESOLDIERS   -6.424802         2      0.000000     -0.439129          -9.890665
VWAP_CDLRISEFALL3METHODS    0.000000         0           NaN           NaN          -0.000000
         VWAP_CDLMATHOLD    0.000000         0           NaN           NaN          -0.000000
 VWAP_CDLSEPARATINGLINES   -9.645285         5     20.000000     -0.549664         -12.251987
       VWAP_CDLTASUKIGAP   -2.605736         3     33.333333     -0.196492          -8.472164
   VWAP_CDLABANDONEDBABY    0.000000         0           NaN           NaN          -0.000000
    VWAP_CDLLADDERBOTTOM   -2.688084         1      0.000000     -0.569434          -3.103320
     VWAP_CDLMATCHINGLOW    9.688561         9     44.444444      0.274731         -15.396574
    VWAP_CDLUNIQUE3RIVER    9.204443         1    100.000000      0.434125          -4.269746
         VWAP_CDL3INSIDE    1.362873         6     33.333333      0.053691         -12.344118
        VWAP_CDL3OUTSIDE  -27.369988        13     23.076923     -0.766300         -39.438293
        VWAP_CDLBELTHOLD  -24.661876        44     31.818182     -0.402254         -50.178543
       VWAP_CDLBREAKAWAY    0.000000         0           NaN           NaN          -0.000000
         VWAP_CDLKICKING    0.000000         0           NaN           NaN          -0.000000
 VWAP_CDLKICKINGBYLENGTH    0.000000         0           NaN           NaN          -0.000000
   VWAP_CDLSTICKSANDWICH   12.307701         2    100.000000      0.933073          -2.386164

================================================================================
Total records: 25
