Results saved on: 2025-11-18 22:30:37
================================================================================

           strategy_name  Return [%]  # Trades  Win Rate [%]  Sharpe Ratio  Max. Drawdown [%]
          VWAP_CDLHAMMER   17.217233        14     50.000000      0.337113         -20.679985
  VWAP_CDLINVERTEDHAMMER   -0.767321        13     46.153846     -0.016622         -23.019939
     VWAP_CDLMORNINGSTAR    6.269428         4     50.000000      0.260361          -7.976799
 VWAP_CDLMORNINGDOJISTAR    0.000000         0           NaN           NaN          -0.000000
       VWAP_CDLENGULFING    9.336555        23     47.826087      0.157437         -24.573951
        VWAP_CDLPIERCING   -2.482977         1      0.000000     -0.119136          -8.754003
          VWAP_CDLHARAMI   19.911223        28     50.000000      0.283785         -25.771507
     VWAP_CDLHARAMICROSS   23.721095         8     62.500000      0.642832         -10.471995
          VWAP_CDLTAKURI    4.197379        15     40.000000      0.112212         -15.171051
  VWAP_CDL3WHITESOLDIERS   -3.607200         1      0.000000     -0.243062          -9.539580
VWAP_CDLRISEFALL3METHODS    0.000000         0           NaN           NaN          -0.000000
         VWAP_CDLMATHOLD    0.000000         0           NaN           NaN          -0.000000
 VWAP_CDLSEPARATINGLINES    2.573184         1    100.000000      0.444513          -1.279162
       VWAP_CDLTASUKIGAP   -1.916795         4     50.000000     -0.080824         -10.777823
   VWAP_CDLABANDONEDBABY    0.000000         0           NaN           NaN          -0.000000
    VWAP_CDLLADDERBOTTOM   -4.474402         2      0.000000     -0.213574         -14.623562
     VWAP_CDLMATCHINGLOW   48.834643        11     72.727273      1.074047          -6.053999
    VWAP_CDLUNIQUE3RIVER  -15.612397         3      0.000000     -0.875602         -17.709770
         VWAP_CDL3INSIDE  -16.817069        13     30.769231     -0.680899         -25.911131
        VWAP_CDL3OUTSIDE    5.997173        13     46.153846      0.126095         -13.373154
        VWAP_CDLBELTHOLD  -35.263300        45     35.555556     -0.634279         -54.540059
       VWAP_CDLBREAKAWAY    0.000000         0           NaN           NaN          -0.000000
         VWAP_CDLKICKING    0.000000         0           NaN           NaN          -0.000000
 VWAP_CDLKICKINGBYLENGTH    0.000000         0           NaN           NaN          -0.000000
   VWAP_CDLSTICKSANDWICH   19.207973         3    100.000000      0.724468          -5.645910

================================================================================
Total records: 25
