Results saved on: 2025-11-18 22:08:00
================================================================================

           strategy_name  Return [%]  # Trades  Win Rate [%]  Sharpe Ratio  Max. Drawdown [%]
          VWAP_CDLHAMMER   53.588061         7     71.428571      0.682975         -25.855529
  VWAP_CDLINVERTEDHAMMER    1.620096        14     50.000000      0.017810         -47.922244
     VWAP_CDLMORNINGSTAR  -14.538887        12     33.333333     -0.218028         -28.246174
 VWAP_CDLMORNINGDOJISTAR  -15.518845         6     33.333333     -0.359626         -29.077411
       VWAP_CDLENGULFING   23.865302        19     47.368421      0.228158         -33.940206
        VWAP_CDLPIERCING   18.270813         3     66.666667      0.409270         -12.421629
          VWAP_CDLHARAMI   21.417561        28     39.285714      0.168214         -31.227038
     VWAP_CDLHARAMICROSS  -15.724412        13     30.769231     -0.279469         -30.977125
          VWAP_CDLTAKURI   95.521440        15     60.000000      0.850143         -13.731607
  VWAP_CDL3WHITESOLDIERS   -8.161158         1      0.000000     -0.297514         -14.877708
VWAP_CDLRISEFALL3METHODS    0.000000         0           NaN           NaN          -0.000000
         VWAP_CDLMATHOLD    0.000000         0           NaN           NaN          -0.000000
 VWAP_CDLSEPARATINGLINES    1.069217         5     40.000000      0.031664         -11.794187
       VWAP_CDLTASUKIGAP    5.306136         2     50.000000      0.494031          -3.845136
   VWAP_CDLABANDONEDBABY    0.000000         0           NaN           NaN          -0.000000
    VWAP_CDLLADDERBOTTOM  -13.806070         2      0.000000     -0.853918         -13.806070
     VWAP_CDLMATCHINGLOW   10.050732         5     40.000000      0.275104          -7.737976
    VWAP_CDLUNIQUE3RIVER   -5.205888         1      0.000000     -0.473559          -6.497416
         VWAP_CDL3INSIDE  -13.277769        11     27.272727     -0.231890         -28.611152
        VWAP_CDL3OUTSIDE  -16.720337        14     35.714286     -0.264331         -34.983809
        VWAP_CDLBELTHOLD  198.090001        42     50.000000      0.734715         -43.795155
       VWAP_CDLBREAKAWAY    0.000000         0           NaN           NaN          -0.000000
         VWAP_CDLKICKING    0.000000         0           NaN           NaN          -0.000000
 VWAP_CDLKICKINGBYLENGTH    0.000000         0           NaN           NaN          -0.000000
   VWAP_CDLSTICKSANDWICH   -6.118865         1      0.000000     -0.379493         -12.346974

================================================================================
Total records: 25
