Results saved on: 2025-11-22 21:54:09
================================================================================

           strategy_name  Return [%]  # Trades  Win Rate [%]  Sharpe Ratio  Max. Drawdown [%]
          VWAP_CDLHAMMER  -13.208718        14     35.714286     -0.474031         -22.679105
  VWAP_CDLINVERTEDHAMMER   -6.981462         7     28.571429     -0.212509         -19.234864
     VWAP_CDLMORNINGSTAR   12.327396         3     66.666667      0.471682          -7.149685
 VWAP_CDLMORNINGDOJISTAR   11.938412         1    100.000000      0.709409          -2.534972
       VWAP_CDLENGULFING  -33.277428        22     27.272727     -0.925968         -33.546579
        VWAP_CDLPIERCING   -4.814643         3     33.333333     -0.445615          -8.816556
          VWAP_CDLHARAMI  -36.615335        25     28.000000     -0.918881         -44.608411
     VWAP_CDLHARAMICROSS  -15.150148        10     30.000000     -0.547844         -19.889759
          VWAP_CDLTAKURI   21.829393        11     63.636364      0.660275          -8.973295
  VWAP_CDL3WHITESOLDIERS    0.352299         2     50.000000      0.036886          -3.208108
VWAP_CDLRISEFALL3METHODS    0.000000         0           NaN           NaN          -0.000000
         VWAP_CDLMATHOLD    0.000000         0           NaN           NaN          -0.000000
 VWAP_CDLSEPARATINGLINES    3.006701         1    100.000000      0.343663          -1.048924
       VWAP_CDLTASUKIGAP   -2.387924         3     33.333333     -0.161352          -6.204023
   VWAP_CDLABANDONEDBABY    0.000000         0           NaN           NaN          -0.000000
    VWAP_CDLLADDERBOTTOM   -2.354745         1      0.000000     -0.590145          -2.354745
     VWAP_CDLMATCHINGLOW  -21.862154        11     27.272727     -0.828554         -22.206769
    VWAP_CDLUNIQUE3RIVER   -3.017096         1      0.000000     -0.323496          -6.519077
         VWAP_CDL3INSIDE   -3.302856         9     33.333333     -0.081600         -21.284738
        VWAP_CDL3OUTSIDE  -12.613989        11     27.272727     -0.398937         -23.764752
        VWAP_CDLBELTHOLD   13.079577        34     44.117647      0.192458         -23.344652
       VWAP_CDLBREAKAWAY   -4.105959         1      0.000000     -0.396141          -6.122946
         VWAP_CDLKICKING    0.000000         0           NaN           NaN          -0.000000
 VWAP_CDLKICKINGBYLENGTH    0.000000         0           NaN           NaN          -0.000000
   VWAP_CDLSTICKSANDWICH   -2.647054         1      0.000000     -0.465615          -3.516163

================================================================================
Total records: 25
