Results saved on: 2025-11-23 22:30:51
================================================================================

           strategy_name  Return [%]  # Trades  Win Rate [%]  Sharpe Ratio  Max. Drawdown [%]
          VWAP_CDLHAMMER   11.489835        13     46.153846      0.288239         -19.669150
  VWAP_CDLINVERTEDHAMMER    5.059880        16     37.500000      0.126551          -9.703660
     VWAP_CDLMORNINGSTAR   -1.804725         2     50.000000     -0.192198          -6.589406
 VWAP_CDLMORNINGDOJISTAR    0.000000         0           NaN           NaN          -0.000000
       VWAP_CDLENGULFING   -3.684097        14     35.714286     -0.106405         -19.986674
        VWAP_CDLPIERCING    2.820777         2     50.000000      0.160871          -3.847545
          VWAP_CDLHARAMI   38.205344        23     60.869565      0.568486         -22.100123
     VWAP_CDLHARAMICROSS   11.773078         7     57.142857      0.300089          -9.959065
          VWAP_CDLTAKURI  -11.512968         4     25.000000     -0.800702         -13.717572
  VWAP_CDL3WHITESOLDIERS    0.000000         0           NaN           NaN          -0.000000
VWAP_CDLRISEFALL3METHODS    0.000000         0           NaN           NaN          -0.000000
         VWAP_CDLMATHOLD    0.000000         0           NaN           NaN          -0.000000
 VWAP_CDLSEPARATINGLINES   -5.369651         2      0.000000     -0.864562          -6.377224
       VWAP_CDLTASUKIGAP   -0.718510         5     40.000000     -0.043027          -8.335974
   VWAP_CDLABANDONEDBABY    0.000000         0           NaN           NaN          -0.000000
    VWAP_CDLLADDERBOTTOM   11.790720         3     66.666667      0.479862          -7.303442
     VWAP_CDLMATCHINGLOW    8.213530         4     50.000000      0.657760          -7.154366
    VWAP_CDLUNIQUE3RIVER   11.791532         5     60.000000      0.579169          -5.719745
         VWAP_CDL3INSIDE   -9.462895        11     27.272727     -0.267277         -20.796800
        VWAP_CDL3OUTSIDE  -14.504209        10     20.000000     -0.665801         -18.188539
        VWAP_CDLBELTHOLD  -13.325822        50     34.000000     -0.211494         -31.598198
       VWAP_CDLBREAKAWAY   -5.989092         1      0.000000     -0.698486          -7.307538
         VWAP_CDLKICKING    0.000000         0           NaN           NaN          -0.000000
 VWAP_CDLKICKINGBYLENGTH    0.000000         0           NaN           NaN          -0.000000
   VWAP_CDLSTICKSANDWICH    1.036512         1    100.000000      0.345224          -0.436727

================================================================================
Total records: 25
