Results saved on: 2025-11-18 22:36:51
================================================================================

           strategy_name  Return [%]  # Trades  Win Rate [%]  Sharpe Ratio  Max. Drawdown [%]
          VWAP_CDLHAMMER   -8.474217        12     41.666667     -0.214781         -28.301344
  VWAP_CDLINVERTEDHAMMER   -5.611239        12     33.333333     -0.159386         -15.235367
     VWAP_CDLMORNINGSTAR   15.950063         4     75.000000      0.647139          -6.551885
 VWAP_CDLMORNINGDOJISTAR   -3.580473         1      0.000000     -0.872199          -3.947170
       VWAP_CDLENGULFING    0.423387        18     38.888889      0.010029         -25.032669
        VWAP_CDLPIERCING    6.638462         1    100.000000      0.504515          -3.612587
          VWAP_CDLHARAMI  -14.108089        19     31.578947     -0.344297         -28.778900
     VWAP_CDLHARAMICROSS   -0.889999        12     33.333333     -0.025599         -12.564955
          VWAP_CDLTAKURI   -4.880792         6     33.333333     -0.166191         -16.568606
  VWAP_CDL3WHITESOLDIERS    0.000000         0           NaN           NaN          -0.000000
VWAP_CDLRISEFALL3METHODS    0.000000         0           NaN           NaN          -0.000000
         VWAP_CDLMATHOLD    0.000000         0           NaN           NaN          -0.000000
 VWAP_CDLSEPARATINGLINES   -3.798912         3     33.333333     -0.227214          -6.184612
       VWAP_CDLTASUKIGAP  -19.183870         8     25.000000     -0.709047         -26.470561
   VWAP_CDLABANDONEDBABY    0.000000         0           NaN           NaN          -0.000000
    VWAP_CDLLADDERBOTTOM   -1.060856         2     50.000000     -0.060551          -8.159606
     VWAP_CDLMATCHINGLOW   19.429291        11     54.545455      0.555761          -7.204897
    VWAP_CDLUNIQUE3RIVER    0.000000         0           NaN           NaN          -0.000000
         VWAP_CDL3INSIDE    2.050214        11     45.454545      0.065128         -10.843029
        VWAP_CDL3OUTSIDE   -5.093657        13     46.153846     -0.120690         -25.661788
        VWAP_CDLBELTHOLD  -23.012175        28     32.142857     -0.491694         -36.426063
       VWAP_CDLBREAKAWAY    0.000000         0           NaN           NaN          -0.000000
         VWAP_CDLKICKING    0.000000         0           NaN           NaN          -0.000000
 VWAP_CDLKICKINGBYLENGTH    0.000000         0           NaN           NaN          -0.000000
   VWAP_CDLSTICKSANDWICH    5.497908         1    100.000000      0.639277          -1.414361

================================================================================
Total records: 25
