blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,tokenID,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
24077547,1766519843,0x5a1a986a1c2ec9f265c2ee27e47ad0394250b831438f9a1c44780df52c1449d2,821,0x70d43c439b0d9a7fbfdd2c4381389e991f541d44b7c046e889dbe290e5dd3c8b,0x3bc0ab9c16bb49b0b2f5dbdda1a99ecb63acc08f,0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,0x620b70123fb810f6c653da7644b5dd0b6312e4d8,5677,Doodles,DOODLE,0,26,303616,2028590405,176641,3011251,deprecated,0x42842e0e,"safeTransferFrom(address from, address to, uint256 assetId)",531
24076663,1766509187,0xf19e6caf49aea193570c07eac0e6d89f0a5151d6cb35d87f8a32b269036bb78b,271,0x2dfe84ddb9e66cb949da716053d033790e0fc714b60f4ac59139ff3a207c654c,0x9f9fe4824a77c865fefc2b74cf6137c475cba2d4,0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,0x8ce8f3e2822591e53d1be56af2142a4bcabc32df,6301,Doodles,DOODLE,0,51,278035,2053991196,172386,10595420,deprecated,0x00000000,buyAndFree22457070633(uint256 amount),1415
24076476,1766506931,0xa798b1568b2ee3735dc504c56b07397b5f112aae206b855a711b0cb28b78acdf,498,0x254c36e04a3091e70e61615ecc547829a462a591ce36a9857ba0a1bff23bf778,0x685f0298080adfbe044df2f3ba31cbd7966072f5,0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,0x4e320fd00807f015f3c58d0d49edda2db78963fc,5591,Doodles,DOODLE,0,91,240541,2117575102,149486,15370125,deprecated,0x00000000,buyAndFree22457070633(uint256 amount),1602
24076465,1766506799,0x9445caafe9435cf6ea0ea5c48c15c0f8e0c82310be6fce44af0fe5731fbae8b3,497,0xd945c13e076f7efdee3d04b80194e0363e907048b244e3dce5067f70d1e8cf72,0x6339ed11fff5be5bb26d0466e97c8cabf2a9daa8,0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,0x4e320fd00807f015f3c58d0d49edda2db78963fc,4718,Doodles,DOODLE,0,88,279805,2128097075,168923,7117965,deprecated,0x70bce2d6,"takeAskSingle(tuple inputs,bytes oracleSignature)",1613
24076370,1766505647,0x56acaa84f4d54a7bd185c70da9ae3f24d8bde9974b03b20606c314872448d4b5,3053,0x464edb7ba46b989fc8615786a20634aba54669f86aaabb26b9993487b9cb6eec,0x1fee3385b22d69e93209db2042be58fcac57b59b,0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,0xc9078525659c3cabe2e5099c75d777ec6c258e64,2121,Doodles,DOODLE,0,16,213688,2067020248,202215,2871476,deprecated,0xe7acab24,JunionWasHereXD_ufpfzhujazyn(),1708
24076337,1766505251,0xf97b6a7cfdbc48a83ebf0c43da8d45458cdd14fcfa06b69406e85213b223f4ba,2763,0x7c0c6b021e3ff2025d63145502ecc61d0bcf595f764f5414ba55cbbba6ee4985,0xcf9b8c876ac4b8750a799c772bcd204afe5a19fc,0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,0x0587e41b6aa2302b2cc3b6e53e3cc50e3698fca2,5006,Doodles,DOODLE,0,175,584595,68499553,368958,19153147,deprecated,0x87201b41,"fulfillAvailableAdvancedOrders(tuple[] advancedOrders, tuple[] criteriaResolvers, tuple[][] offerFulfillments, tuple[][] considerationFulfillments, bytes32 fulfillerConduitKey, address recipient, uint256 maximumFulfilled)",1741
24075546,1766495711,0xa2f28f1bc2f8ef9c8a49ab460c072c12440ac5c48657f8e0896ce1c016e64dea,2762,0x6051cf912eb22407e965c3172977aa8c30255a3e9b951c8edee63a4d2bebd674,0x29469395eaf6f95920e59f858042f0e28d98a20b,0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,0xcf9b8c876ac4b8750a799c772bcd204afe5a19fc,775,Doodles,DOODLE,0,269,207470,44083388,173795,30213221,deprecated,0x5b43226f,seize(tuple[] lienPointers),2532
24075523,1766495435,0x9961b4ed06dfde01d72707042449bbc90a02150469040d93c363a80a3e9c7856,215,0xc3c637a095228c84c1cd0846c6794c8f7eca155c675618728d3fc8e24096ce3d,0x4af599bd253ecd55f5015b026ce5228c30c35233,0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,0x9bbc39b1338d64d19bd5ee7176418cad1b1458fd,5877,Doodles,DOODLE,0,44,201549,2040130466,182567,9667556,deprecated,0xda815cb5,"takeBidSingle(tuple inputs,bytes oracleSignature)",2555
24075506,1766495231,0xf36297fe7980850a7ec63767129989da0d808c3292b6055100d4fcc749899e8c,3469,0x973e3c7ff6e509fcbfafd2af8165063c6451474f9f7f81f9aca1a147ea1a9427,0x5b468edb7688e9ae6c1fa5a6d2debbef06e92907,0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,0x4af599bd253ecd55f5015b026ce5228c30c35233,5877,Doodles,DOODLE,0,224,201549,49597714,182567,25360819,deprecated,0xda815cb5,"takeBidSingle(tuple inputs,bytes oracleSignature)",2572
24075467,1766494763,0xc6fbe6a37bbb76d21716abb98315495fc79672e4e2ab252b5160a6004feb8937,20,0xa4f918e0d40451b0f4123e6d836e618880473cf9ebfc72186c012d1579e1665d,0xc1d771f7fb2b12e52fede435ef19f33f61dda70e,0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,0x78d67395a4ebeead92e34ceb8bbd2750c4fe8523,5025,Doodles,DOODLE,0,158,192233,119095897,161931,26916853,deprecated,0x00000000,buyAndFree22457070633(uint256 amount),2611
24075315,1766492927,0xe688210dc2fdf0720f955d9ba3eeb6536814ae04519208d121028317dcec9d35,1167,0x1cd0c805b017b82d83246128e72f7b4f3defd14aba35655384a3980403dfb6d9,0x29469395eaf6f95920e59f858042f0e28d98a20b,0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,0x5b468edb7688e9ae6c1fa5a6d2debbef06e92907,5877,Doodles,DOODLE,0,46,294054,2036340264,227151,6675826,deprecated,0x619a309f,"takeBidV2(tuple lien,uint256 lienId,tuple execution)",2763
24075285,1766492555,0xac7b9ddf5d6355f45e818ce739fcea931c59f80f13ef85d2c3c3c9e651e846d6,1584,0xbb902448bfc995be50263966d62fe22cfd424a8fd6cfe4eb1d9eb6e63fdbca1f,0x619453e0706d6e8fdfe36dbfa6eb7d423de7ee38,0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,0x34c9585ee9086abab5328189fc7f98aa82fefba6,9140,Doodles,DOODLE,0,118,320532,43876073,202215,12820101,deprecated,0xe7acab24,JunionWasHereXD_ufpfzhujazyn(),2793
24075255,1766492195,0x0aeb86022e89dcc9dc7b9f8ac8d2f9a327a7f3137a18791b9405c714585f2cbb,1164,0x185f3beb0cc94d8f9b91c4df4f1eced2cbe07c041b9c634cf7b5e33057a2dac3,0x9b4ac4dbea33feb44a6a4c1208550ff3284ba360,0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,0x029d93bf5aa8da4e1b433b8ea3151fd1cb0cfe54,5814,Doodles,DOODLE,0,27,229093,2029868163,219363,4731058,deprecated,0xe7acab24,JunionWasHereXD_ufpfzhujazyn(),2823
24075248,1766492111,0x8ddd34b52fb1e45009e8260185635f6f94cf361eb077b21d2e92d2ea55e9a51b,1163,0xbb4fe70ef60c3d3d7f27be0742e1b41d043f79abc87108ed82868d430557f5b8,0x29469395eaf6f95920e59f858042f0e28d98a20b,0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,0x9b4ac4dbea33feb44a6a4c1208550ff3284ba360,5814,Doodles,DOODLE,0,56,158357,2029039203,136999,8535806,deprecated,0xc87df1c2,"repay(tuple lien,uint256 lienId)",2830
24075032,1766489507,0x1335ed47c88850fe43a091b39a9865cd084a20fbe62513af62e0a8a13b75dd75,7427,0xb543a4b22ca260ee38c853495bb6055b99c05a2f05b5c9e6584e80033bdace13,0x4bc5fa56f2931e7a37417fa55dda71e4b7c2f2a3,0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,0x2ae3e46290ade43593eabd15642ebd67157f5351,6900,Doodles,DOODLE,0,24,1205882,2028825568,965891,2955066,deprecated,0x8b77bba5,,3046
24075024,1766489411,0xed482b064fe1c5b3ef5e59b8841e44c669b2d82d41e20da746896529595274a2,7425,0x31a297bf9597476b2459f8deaee85dcc9a525dddf08eaf018f80dc7dd8ba1915,0x4bc5fa56f2931e7a37417fa55dda71e4b7c2f2a3,0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,0x2ae3e46290ade43593eabd15642ebd67157f5351,8641,Doodles,DOODLE,0,81,1205882,2027865745,965891,5752688,deprecated,0x8b77bba5,,3054
24075018,1766489339,0x86242f8c4c3d98afa5ce390dd18b242b152ef70506548da09050d25169814c4f,7423,0x186e2f90dbbd78d4a36cae904ef4c0fa8a8194c8b4bdf911706f0b21560299c7,0x4bc5fa56f2931e7a37417fa55dda71e4b7c2f2a3,0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,0x2ae3e46290ade43593eabd15642ebd67157f5351,9778,Doodles,DOODLE,0,29,1205882,2028778532,965891,7019799,deprecated,0x8b77bba5,,3060
24075010,1766489243,0x23c071b66cf350ed6b287963af2c7686baec2af95d84ebc285b6d889753e18ce,7421,0xa727e604a4463174eb7063fcbc0d66a79813d37da3caee9b172ba88b6ac84815,0x4bc5fa56f2931e7a37417fa55dda71e4b7c2f2a3,0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,0x2ae3e46290ade43593eabd15642ebd67157f5351,5873,Doodles,DOODLE,0,16,1253791,2033495666,1011220,3471306,deprecated,0x1fd546b0,,3068
24075005,1766489171,0x512b90177553e6637322bfd84294d66880ef291c491acfa9b1e0a9e7d95b2951,7419,0x1e82a179d37179a7cc9a74723fdb8288c677f4b2a9057a36063dbc71287467ba,0x4bc5fa56f2931e7a37417fa55dda71e4b7c2f2a3,0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,0x2ae3e46290ade43593eabd15642ebd67157f5351,9081,Doodles,DOODLE,0,7,1205858,2029908011,965867,2490322,deprecated,0x8b77bba5,,3073
24074998,1766489087,0x789b77dc9564a572db29562d08f43436bd98d2c779ae7be7090534ced977eb26,7417,0x334950ee265777b1ca76dc24281fc767363f81002fd0d43ba9898da1405e464b,0x4bc5fa56f2931e7a37417fa55dda71e4b7c2f2a3,0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,0x2ae3e46290ade43593eabd15642ebd67157f5351,7994,Doodles,DOODLE,0,15,1210741,2030179909,970679,3733693,deprecated,0x8b77bba5,,3080
24074988,1766488967,0x83f7082de14a21f593ae5c661c26b7dd8246ba58b0534ccbc424401114c0aec3,7415,0x998bdc3eaa991c709d12b68be093f1d9f314dc046c866f8557a4def1e52952cb,0x4bc5fa56f2931e7a37417fa55dda71e4b7c2f2a3,0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,0x2ae3e46290ade43593eabd15642ebd67157f5351,847,Doodles,DOODLE,0,87,1210741,2031623241,970679,6977919,deprecated,0x8b77bba5,,3090
