symbol,fv_company,fv_sector,fv_industry,fv_p_e,fv_eps_ttm,fv_perf_week,fv_market_cap,fv_forward_p_e,fv_perf_month,fv_short_float,fv_perf_quarter,fv_p_s,fv_eps_this_y,fv_short_ratio,fv_perf_half_y,fv_p_b,fv_roa,fv_perf_ytd,fv_p_c,fv_roe,fv_52w_high,fv_perf_year,fv_p_fcf,fv_eps_past_3_5y,fv_roic,fv_52w_low,fv_perf_3y,fv_dividend_est,fv_ev_ebitda,fv_sales_past_3_5y,fv_volatility_w,fv_volatility_m,fv_perf_5y,fv_dividend_ttm,fv_ev_sales,fv_eps_y_y_ttm,fv_oper_margin,fv_atr_14,fv_perf_10y,fv_quick_ratio,fv_sales_y_y_ttm,fv_profit_margin,fv_rsi_14,fv_recom,fv_dividend_gr_3_5y,fv_current_ratio,fv_eps_q_q,fv_sma20,fv_beta,fv_payout,fv_debt_eq,fv_sales_q_q,fv_sma50,fv_rel_volume,fv_prev_close,fv_lt_debt_eq,fv_sma200,fv_avg_volume,fv_price,fv_ipo,fv_eps_sales_surpr,fv_trades,fv_volume,fv_change
ACIW,ACI Worldwide Inc,Technology,Software - Infrastructure,20.52,2.17,11.48%,4.52B,15.61,13.65%,4.08%,2.25%,2.57,13.43%,4.85,-11.98%,3.01,7.39%,-6.99%,23.02,15.40%,55.45 -19.80%,-12.70%,14.60,20.22% 28.58%,9.78%,38.05 16.86%,69.54%,-,11.83,7.37% 6.34%,3.07%,2.92%,9.32%,-,2.95,12.89%,18.87%,1.43,118.20%,1.54,10.38%,12.88%,66.98,1.33,- -,1.54,-32.90%,8.34%,1.03,0.00%,0.57,6.30%,8.85%,1.40,42.80,0.53,-2.74%,841.97K,44.47,"Feb 24, 1995",-22.50% 3.65%,"

","1,181,809",3.90%
ALGN,"Align Technology, Inc",Healthcare,Medical Instruments & Supplies,33.59,5.66,9.78%,13.61B,15.42,10.24%,6.51%,10.85%,3.37,7.47%,3.52,48.00%,3.35,6.59%,21.72%,12.43,10.39%,208.30 -8.75%,10.89%,27.74,7.03% -24.08%,9.93%,122.00 55.80%,-45.33%,-,14.84,2.61% 10.30%,3.35%,3.84%,-68.65%,-,3.13,0.61%,16.89%,7.59,158.70%,1.24,0.90%,10.17%,62.46,2.00,- -,1.36,35.72%,7.73%,1.78,0.00%,0.03,5.26%,5.73%,0.83,185.02,0.02,19.46%,1.24M,190.07,"Jan 26, 2001",10.63% 1.41%,"

","1,024,958",2.73%
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,78.48,0.76,-0.05%,12.71B,8.15,0.36%,3.83%,-14.80%,0.62,0.43%,2.86,-15.85%,1.38,0.70%,-7.50%,6.85,1.83%,75.33 -20.86%,36.11%,8.31,-27.46% -35.19%,0.97%,42.41 40.59%,-34.59%,-,6.48,5.26% 9.32%,3.35%,3.33%,-50.10%,-,0.94,-88.86%,9.70%,2.33,10.24%,1.23,3.47%,0.81%,48.43,1.33,- -,1.74,-43.90%,0.51%,1.45,0.00%,0.88,5.01%,-4.69%,1.22,57.52,0.85,-8.83%,2.82M,59.62,"Nov 17, 2011",0.31% 0.93%,"

","3,442,341",3.65%
BA,Boeing Co,Industrials,Aerospace & Defense,117.82,1.90,2.64%,175.54B,50.76,8.44%,1.69%,-9.83%,1.96,-71.04%,1.88,4.38%,32.17,1.38%,2.88%,5.97,289.00%,254.35 -12.18%,37.97%,-,- -,3.56%,156.47 42.76%,8.95%,0.04 (0.02%),-,10.33% 8.99%,2.84%,2.70%,-9.99%,-,2.26,111.69%,-5.95%,6.93,70.35%,0.40,34.49%,2.11%,58.45,1.71,- -,1.19,285.21%,7.19%,1.19,0.00%,10.33,57.10%,1.62%,1.25,218.88,8.72,1.82%,7.06M,223.38,"Sep 05, 1934",2362.26% 5.98%,"

","8,849,275",2.06%
CLX,Clorox Co,Consumer Defensive,Household & Personal Products,17.09,6.12,-0.66%,12.64B,15.67,-3.10%,6.23%,-5.98%,1.87,-23.88%,3.39,-11.64%,-,13.49%,3.72%,55.70,4163.16%,143.96 -27.35%,-25.18%,16.25,20.46% -2.39%,27.94%,96.66 8.19%,-33.87%,5.01 (4.79%),12.67,-0.01% 1.11%,2.73%,2.95%,-45.17%,4.94 (4.72%),2.34,66.74%,15.15%,3.33,-17.27%,0.48,-5.68%,11.17%,45.77,3.18,1.69% 2.69%,0.74,-16.82%,0.57%,0.64,75.19%,-,-0.77%,-7.49%,1.31,102.38,-,-8.80%,2.21M,104.58,"Aug 01, 1968",-3.01% 2.04%,"

","2,893,948",2.15%
ERIE,Erie Indemnity Co,Financial,Insurance Brokers,23.06,10.62,-3.53%,11.40B,-,0.39%,9.85%,-13.52%,2.80,26.38%,10.62,-23.11%,4.99,17.68%,-14.60%,29.75,26.19%,417.88 -41.42%,-40.43%,19.97,23.27% 13.78%,24.50%,233.82 4.70%,4.61%,5.85 (2.39%),-,12.93% 9.90%,3.56%,3.12%,7.70%,5.65 (2.31%),2.71,-6.83%,17.69%,8.09,167.77%,1.27,7.20%,13.75%,44.95,2.00,7.15% 7.19%,1.27,-58.31%,-1.11%,0.41,52.35%,0.00,2.80%,-5.15%,1.09,241.27,0.00,-18.71%,233.38K,244.81,"Oct 02, 1995",-23.90% -2.52%,"

","255,019",1.47%
EXLS,ExlService Holdings Inc,Technology,Information Technology Services,20.63,1.54,8.85%,4.98B,13.03,4.15%,6.78%,-25.26%,2.39,11.77%,4.39,-21.22%,5.46,15.12%,-24.93%,14.62,27.25%,48.79 -34.70%,-29.03%,16.71,22.27% 24.43%,19.37%,26.94 18.26%,-4.84%,-,12.62,13.92% 16.85%,2.62%,2.96%,66.46%,-,2.42,27.82%,15.13%,1.00,205.41%,2.54,13.56%,12.02%,58.56,1.45,- -,2.54,21.84%,4.18%,0.88,0.00%,0.44,12.71%,3.98%,0.53,31.48,0.42,-18.47%,2.34M,31.86,"Oct 20, 2006",7.53% 2.15%,"

","1,235,348",1.21%
FMC,FMC Corp,Basic Materials,Agricultural Inputs,-,-17.90,-1.60%,2.15B,7.46,18.01%,12.35%,10.92%,0.62,-40.14%,3.77,-42.94%,1.04,-20.65%,23.79%,3.67,-67.20%,44.78 -61.66%,-54.62%,-,- -,-45.36%,12.17 41.08%,-86.19%,0.32 (1.86%),11.61,-15.77% -5.67%,3.91%,5.11%,-84.89%,1.32 (7.69%),1.67,-758.96%,6.51%,0.79,-50.34%,1.00,-18.34%,-64.62%,56.75,2.60,-5.69% 0.22%,1.32,-10151.49%,3.14%,0.50,-,2.03,-11.52%,12.19%,0.61,17.58,1.38,-28.40%,4.06M,17.17,"Sep 10, 1948",0.33% -5.88%,"

","2,476,095",-2.33%
GME,Gamestop Corporation,Consumer Cyclical,Specialty Retail,32.96,0.74,5.73%,11.01B,-,5.09%,15.41%,14.93%,3.03,-,8.12,5.00%,2.02,5.10%,22.26%,1.22,8.07%,35.81 -31.44%,-8.33%,18.43,- -,4.31%,19.93 23.18%,10.19%,-,20.80,-15.08% -6.54%,3.61%,3.30%,-36.52%,-,1.75,251.00%,7.88%,0.78,208.90%,14.68,-5.05%,11.53%,59.00,3.00,- -,15.30,-26.36%,5.58%,1.89,0.00%,0.80,-13.90%,3.60%,1.05,25.18,0.79,6.07%,7.73M,24.55,"Feb 13, 2002",- -,"

","8,102,654",-2.50%
HOOD,Robinhood Markets Inc,Financial,Capital Markets,44.07,2.06,31.16%,81.70B,33.88,21.16%,4.39%,-17.76%,18.14,2.43%,1.06,-32.35%,8.95,5.85%,-19.76%,18.76,22.01%,153.86 -41.02%,120.37%,-,- 259.78%,20.16%,39.21 131.45%,818.52%,-,44.56,48.27% 36.27%,5.91%,5.30%,-,-,20.64,32.39%,44.42%,4.84,-,1.26,51.73%,41.80%,69.69,1.73,- -,1.26,-34.67%,24.22%,2.49,0.00%,1.71,27.51%,20.14%,1.58,86.85,0.02,-15.46%,31.46M,90.75,"Jul 29, 2021",4.61% -5.29%,"

","49,639,616",4.49%
