symbol,fv_company,fv_sector,fv_industry,fv_p_e,fv_eps_ttm,fv_perf_week,fv_market_cap,fv_forward_p_e,fv_perf_month,fv_short_float,fv_perf_quarter,fv_p_s,fv_eps_this_y,fv_short_ratio,fv_perf_half_y,fv_p_b,fv_roa,fv_perf_ytd,fv_p_c,fv_roe,fv_52w_high,fv_perf_year,fv_p_fcf,fv_eps_past_3_5y,fv_roic,fv_52w_low,fv_perf_3y,fv_dividend_est,fv_ev_ebitda,fv_sales_past_3_5y,fv_volatility_w,fv_volatility_m,fv_perf_5y,fv_dividend_ttm,fv_ev_sales,fv_eps_y_y_ttm,fv_oper_margin,fv_atr_14,fv_perf_10y,fv_quick_ratio,fv_sales_y_y_ttm,fv_profit_margin,fv_rsi_14,fv_recom,fv_dividend_gr_3_5y,fv_current_ratio,fv_eps_q_q,fv_sma20,fv_beta,fv_payout,fv_debt_eq,fv_sales_q_q,fv_sma50,fv_rel_volume,fv_prev_close,fv_lt_debt_eq,fv_sma200,fv_avg_volume,fv_price,fv_ipo,fv_eps_sales_surpr,fv_trades,fv_volume,fv_change
UAA,Under Armour Inc,Consumer Cyclical,Apparel Manufacturing,-,-1.22,5.75%,2.72B,28.38,5.75%,22.20%,12.36%,0.54,-63.49%,4.02,34.83%,1.92,-11.22%,30.22%,2.54,-30.39%,8.15 -20.59%,11.01%,-,- -,-21.81%,4.13 56.70%,-28.49%,-,9.11,-3.17% -0.32%,3.83%,4.40%,-70.65%,-,0.67,-322.74%,4.89%,0.30,-84.98%,0.92,-6.20%,-10.41%,56.91,2.79,- -,1.43,-36317.86%,7.63%,1.77,-,1.18,-4.84%,-2.45%,0.73,6.26,0.66,14.49%,10.38M,6.47,"Nov 18, 2005",708.11% 1.23%,"

","7,444,820",3.38%
PCTY,Paylocity Holding Corp,Technology,Software - Application,23.65,4.25,5.69%,5.42B,12.01,-8.39%,5.73%,-29.04%,3.22,8.48%,2.73,-32.93%,4.93,3.88%,-34.09%,33.33,20.99%,201.97 -50.23%,-45.37%,11.74,35.67% 28.31%,19.47%,92.99 8.09%,-49.38%,-,11.88,23.22% 23.23%,4.26%,4.50%,-48.23%,-,3.21,9.49%,20.58%,4.68,176.90%,1.02,12.08%,14.19%,41.36,1.38,- -,1.02,38.80%,-4.03%,0.49,0.00%,0.12,10.39%,-7.33%,0.45,100.66,0.11,-31.56%,905.78K,100.51,"Mar 19, 2014",15.44% 1.85%,"

","400,321",-0.14%
CVGW,"Calavo Growers, Inc",Consumer Defensive,Food Distribution,30.08,0.90,-1.77%,485.10M,17.86,10.46%,7.85%,5.93%,0.79,-12.96%,3.79,11.05%,2.36,5.40%,24.78%,10.18,7.92%,28.72 -5.50%,3.71%,33.11,- -,7.21%,18.40 47.50%,-7.44%,-,22.61,-18.35% -9.35%,1.92%,2.64%,-66.08%,0.60 (2.21%),0.75,70.95%,2.13%,0.67,-51.34%,1.44,-10.47%,2.61%,56.90,3.00,40.25% -7.00%,2.21,-83.47%,2.20%,0.39,72.33%,0.11,-20.85%,4.32%,0.97,26.67,0.09,9.13%,344.58K,27.14,"Mar 22, 2002",25.58% 4.98%,"

","325,957",1.76%
GRAB,Grab Holdings Limited,Technology,Software - Application,68.81,0.06,14.81%,17.32B,25.63,12.67%,9.54%,-3.76%,5.14,81.14%,4.75,-28.63%,2.57,2.51%,-15.33%,2.55,4.07%,6.62 -36.18%,2.80%,129.29,- -,3.76%,3.48 21.41%,42.26%,-,32.23,32.98% 48.35%,3.32%,4.17%,-66.25%,-,3.74,344.57%,6.32%,0.17,-,1.73,20.52%,7.92%,69.01,1.33,- -,1.75,503.12%,13.75%,0.98,0.00%,0.31,18.59%,7.21%,1.28,4.02,0.06,-14.84%,49.56M,4.22,"Dec 01, 2020",188.06% -3.27%,"

","62,127,656",5.10%
TTD,Trade Desk Inc,Communication Services,Advertising Agencies,24.77,0.90,11.47%,10.66B,17.04,-4.90%,15.54%,-38.19%,3.68,23.82%,3.46,-56.17%,4.29,7.23%,-41.00%,8.18,16.32%,91.45 -75.51%,-55.44%,13.40,103.36% 12.67%,15.59%,19.74 13.45%,-63.41%,-,13.89,22.44% 28.21%,5.02%,5.68%,-68.85%,-,3.38,14.21%,20.35%,1.36,-,1.61,18.47%,15.31%,47.02,2.19,- -,1.61,7.73%,2.32%,1.10,0.00%,0.18,14.27%,-8.12%,0.83,22.76,0.14,-49.35%,19.31M,22.40,"Sep 21, 2016",15.11% 0.73%,"

","15,558,614",-1.60%
TSCO,Tractor Supply Co,Consumer Cyclical,Specialty Retail,21.78,2.06,-0.37%,23.60B,18.73,-2.36%,5.46%,-11.56%,1.52,5.38%,4.25,-19.61%,9.16,10.57%,-10.29%,121.57,45.18%,63.99 -29.89%,-10.56%,31.87,1.99% 10.06%,13.58%,43.23 3.78%,-7.02%,0.97 (2.17%),14.96,3.00% 7.89%,2.31%,2.72%,23.88%,0.93 (2.07%),1.89,0.88%,9.45%,1.30,150.75%,0.16,4.31%,7.06%,42.01,2.09,7.53% 25.12%,1.34,-2.70%,-0.57%,0.69,44.67%,2.30,3.31%,-8.28%,0.92,44.63,2.13,-16.99%,6.74M,44.86,"Feb 18, 1994",-6.99% -2.28%,"

","6,065,136",0.52%
U,Unity Software Inc,Technology,Software - Application,-,-0.96,19.82%,11.30B,-,31.43%,10.61%,-41.10%,6.11,30.94%,1.93,-30.75%,3.46,-5.93%,-41.35%,5.50,-12.53%,52.15 -50.33%,34.71%,27.98,31.42% 1.50%,-8.09%,16.78 54.38%,-13.62%,-,1229.80,9.96% 19.08%,5.94%,6.17%,-74.29%,-,6.40,43.33%,-24.40%,1.43,-,1.84,2.01%,-21.78%,68.88,1.70,- -,1.84,30.90%,20.65%,2.05,-,0.72,10.06%,24.67%,0.56,25.93,0.54,-25.20%,19.29M,25.91,"Sep 18, 2020",-201.40% 2.09%,"

","10,452,936",-0.10%
CRWV,CoreWeave Inc,Technology,Software - Infrastructure,-,-2.54,14.65%,61.47B,-,41.20%,20.19%,23.08%,11.98,-78.23%,2.32,-16.02%,17.60,-3.48%,63.30%,15.45,-50.28%,187.00 -37.47%,199.16%,-,-231.46% -,-4.60%,33.51 248.92%,-,-,36.24,586.92% -,8.38%,7.59%,-,-,17.02,-22.60%,-0.89%,7.43,-,0.46,167.88%,-23.31%,71.64,1.89,- -,0.46,-417.82%,27.92%,9.88,-,8.94,110.32%,32.50%,0.78,119.56,6.79,14.70%,27.86M,116.94,"Mar 28, 2025",-11.67% 1.46%,"

","21,162,383",-2.19%
NOW,ServiceNow Inc,Technology,Software - Application,57.87,1.67,16.39%,101.05B,19.13,-15.04%,2.88%,-26.35%,7.61,19.40%,1.40,-46.51%,7.80,7.53%,-36.94%,16.07,15.49%,211.48 -54.32%,-37.44%,22.08,73.56% 70.18%,11.46%,81.24 18.92%,2.65%,-,37.34,22.38% 24.05%,6.41%,5.20%,-13.26%,-,7.32,21.72%,14.66%,5.47,663.33%,0.95,20.88%,13.16%,44.36,1.35,- -,0.95,4.22%,-2.66%,0.93,0.00%,0.19,20.66%,-8.52%,0.69,96.44,0.18,-37.77%,21.37M,96.61,"Jun 29, 2012",3.98% 1.12%,"

","14,388,940",0.17%
INTU,Intuit Inc,Technology,Software - Application,25.49,15.41,11.93%,108.63B,14.88,-12.08%,2.55%,-29.17%,5.40,15.22%,1.65,-39.82%,5.72,13.16%,-40.70%,36.52,23.46%,813.70 -51.72%,-32.89%,15.88,23.41% 14.60%,17.28%,342.11 14.82%,-10.74%,4.71 (1.20%),17.93,13.95% 19.65%,4.93%,4.63%,-5.53%,4.64 (1.18%),5.59,43.17%,27.09%,19.91,282.01%,1.32,17.21%,21.57%,44.08,1.41,15.21% 14.43%,1.32,48.71%,-3.79%,1.09,30.43%,0.36,17.36%,-5.72%,0.54,387.11,0.32,-35.30%,4.17M,392.82,"Mar 12, 1993",12.64% 2.59%,"

","2,208,198",1.48%
